A128,A129,A130,A154,A347,A360,A361,A362,PMI,EVI_t0,EVI_5yr_diff,EVI.D.yr1,EVI.D.yr2,EVI.D.yr3,EVI.D.yr4,EVI.D.yr5,EVI.D.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,wave,rain_5yr_diff,rain_yr1_diff,rain_yr2_diff,rain_yr3_diff,rain_yr4_diff,rain_yr5_diff,distance,weights
5654,5397,9564,1,1,12,1501.670166,25.434481,1,4788.099609,-567.916015,747.626953,-228.429199,-504.0625,351.285645,-934.336914,334.572752999999,808606,0.743996,9181,three,0.59673,4.990838,-8.132918,-0.0665149999999999,0.553083,3.252242,0.0142785128444513,1
6466,5481,10463,1,1,12,1620.912598,16.811596,1,5055.588867,-1054.751709,-125.758301000001,-79.9052729999994,-176.365234,923.048828,-1595.771729,-18.9116209999993,774198,0.650997,9859,three,0.609757,5.058686,-8.180935,-0.0666640000000003,0.559137,3.239533,0.00712425759064191,1
7307,4794,11365,1,1,12,1936.123047,16.72616,1,4938.443848,-1005.869629,-266.729004,-223.495606,166.666992,-33.4677730000003,-648.844238,-333.585449,774198,0.557997,10574,three,0.622198,5.126782,-8.229574,-0.0668000000000002,0.565159,3.226631,0.00307729911984351,1
6189,5876,9764,1,1,12,1521.804199,20.68952,1,4718.398438,-769.647461,185.605957,-421.645508,332.874511,-81.6875,-784.794921,389.049317,808606,0.852496,9859,three,0.591782,4.984162,-8.13883,-0.0639589999999997,0.557374,3.253035,0.0139477512763726,1
6939,6109,10693,1,1,12,1701.698975,18.770489,1,5048.925781,-1142.330078,-166.812988,-513.948242,-251.657227,965.56543,-1175.477051,63.2724609999996,791402,0.650997,10493,three,0.60319,5.048949,-8.185499,-0.0640369999999999,0.563458,3.240319,0.00693531882479549,1
7728,5502,11613,1,1,6,1896.940552,25.234735,1,4476.307617,-531.200683,-57.251953,182.180176,-82.6440430000002,356.103027,-929.58789,-221.158203,774198,0.588997,11168,three,0.613969,5.113901,-8.232748,-0.0641050000000001,0.569512,3.227409,0.0555341843050148,1
33039,699,6207,0,1,6,560.921387,10.3604,0,5010.793457,1005.693848,346.503906,210.875,80.6049810000004,-760.584961,1128.294922,114.598144000001,860220,0.371998,12984,three,-2.784508,0.845801999999999,-7.073259,-0.0674190000000001,0.50533,3.005038,0.0595620955025894,0.567264573991031
8233,6267,11615,1,1,6,2005.976074,34.716042,1,4611.586914,-752.061035000001,-106.443848000001,368.034180000001,-843.540283,479.126709,-649.237793,-137.252442,774198,0.588997,11804,three,0.604162,5.099828,-8.236372,-0.0610089999999999,0.573572,3.228143,0.0479791262684394,1
9005,5827,12545,1,1,6,2024.316772,25.148195,0,3806.794434,-115.247315,-90.7258299999999,474.973388,-699.332275,-128.604492,328.441894,-291.047363,817209,0.511498,12057,three,0.611938,5.160316,-8.282087,-0.0609950000000001,0.57956,3.215144,0.0683636034283793,0.567264573991031
9534,6685,12606,1,1,6,1953.848022,29.024805,0,3650.956543,-18.9597169999997,445.655273,75.0302740000006,-908.921143,804.666504,-435.390625,-306.523437,808606,0.604497,11129,three,0.582963,5.120443,-8.287396,-0.0533619999999999,0.586723,3.216555,0.0794398572873647,0.567264573991031
17293,1164,15649,1,1,6,847.221191,17.744606,0,5139.230469,681.239746,1105.388183,-666.853515,361.32666,-437.319336,318.697754000001,304.560547,860220,0.356498,5865,three,0.377861,5.269063,-8.575655,-0.047383,0.636438,3.095398,0.0428225410908507,1.13452914798206
15998,1637,15465,1,1,6,825.021484,17.94838,0,4692.950684,703.869627999999,1124.93457,-501.278808999999,635.953125,-654.606445,98.8671869999998,-69.7021489999997,833439,0.371998,7477,three,0.439208,5.261564,-8.534859,-0.0417669999999997,0.630716,3.123554,0.0628411557251672,1.13452914798206
