x,y,A128,A129,A130,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
843858,9750894,9890,6346,15189,0,1760.75,12.0116119,0,0,0,0,0,0,0,0,817209,13.9499335656734,5246,two7424,0.374582744244479,0.974452554744526
833655,9749967,1906,2452,8980,0,1174.9523926,8.8324213,0,0,0,0,0,0,0,3895.9999695,834413,9.1062066331479,7063,two7569,0.0117172406018299,0.324817518248175
841075,9749967,8372,3453,16203,0,1278.7174072,21.4288197,0,0,0,0,0,0,0,0,843015,14.4827435282512,2932,two7577,0.692221021575426,8.44525547445255
842003,9749967,9284,4266,16773,0,1420.2165527,20.9193764,0,0,0,0,0,0,0,0,817209,13.9014962963481,3344,two7578,0.705649303504663,7.7956204379562
842930,9749967,10187,5119,16396,0,1597.3577881,18.2085495,0,0,0,0,0,0,0,0,817209,13.5139981417461,3934,two7579,0.626947952551074,1.2992700729927
843858,9749967,10660,5995,16063,0,1764.2518311,6.7268777,0,0,0,0,0,0,0,0,808606,13.8046217576976,4637,two7580,0.339498831921465,0.974452554744526
841075,9749039,8614,3054,16410,0,1345.7409668,12.1326218,0,0,0,0,0,0,0,0,834413,13.4171236030956,2073,two7734,0.505761828383421,0.974452554744526
842003,9749039,9502,3951,17317,0,1563.7740479,21.0562859,0,0,0,0,0,0,0,0,825811,13.5624354110713,2623,two7735,0.769141124031257,13.3175182481752
841075,9748112,8946,2910,16617,0,1407.8419189,17.0710564,0,0,0,0,0,0,0,0,817209,12.8843136405178,1311,two7894,0.614552300814845,0.64963503649635
839220,9747184,7808,1036,14988,0,1180,0.0015601,0,2922,0,2922,0,0,0,6818.0001526,860220,10.7046365208813,927,two8055,0.130458124306857,0.324817518248175
842003,9747184,10183,3733,17713,0,1389.0018311,9.1251469,0,0,0,0,0,0,0,0,817209,13.3202490644451,1854,two8058,0.584300909767695,2.27372262773723
840148,9746257,9084,1800,16045,0,1195.6538086,0.9757108,0,0,0,0,0,0,0,2922,860220,10.2202638276288,927,two8220,0.251862866415054,0.324817518248175
834583,9745329,5930,3677,11002,0,1312.9725342,18.8833656,0,0,0,0,0,0,0,974,843015,6.24840774295787,5865,two8382,0.104724034554322,0.324817518248175
833655,9744402,5485,3879,10460,0,1392.0720215,20.5863476,0,0,0,0,0,0,0,0,843015,7.16871586013771,7063,two8554,0.0874196464554453,0.324817518248175
836438,9743474,8372,1106,13397,0,1315.6682129,8.0256968,0,0,0,0,0,0,0,974,851618,5.32809962577803,5246,two8732,0.0766932766451641,0.324817518248175
887449,9724925,47203,4671,7363,0,307.5894165,9.1308126,1,974,974,0,0,0,0,0,860220,5.86090958835583,10369,two12241,0.00519539509421767,1
888377,9724925,47550,4904,6462,0,320,-0.0204934,0,0,0,0,0,0,0,0,860220,6.19997047363262,10244,two12242,0.00166034698326372,0.324817518248175
889304,9724925,47912,4470,5569,0,320,0,0,0,0,0,0,0,0,0,860220,6.29684501228312,9859,two12243,0.00107254861320914,0.64963503649635
887449,9723997,46338,3770,7628,0,283.3564758,4.4361968,1,0,0,0,0,0,0,0,860220,5.76403504970532,11206,two12421,0.00284517802414023,1
888377,9723997,46692,4012,6754,0,320,0,1,0,0,0,0,0,0,0,843015,5.86090958835583,11129,two12422,0.00119105111074634,1
889304,9723997,47061,4394,5874,0,298.0390625,1.386718,1,0,0,0,0,0,0,0,860220,5.86090958835583,10202,two12423,0.00131518498744983,1
890232,9723997,47445,3618,4999,0,318.4913635,1.9318839,1,0,0,0,0,0,0,974,860220,6.05465866565685,9274,two12424,0.000873566490722304,1
886522,9723070,45132,2678,8814,0,299.7810059,7.9335361,0,6818,0,4870,1948,0,0,0,860220,4.94060147117599,11731,two12600,0.00479903556104134,0.324817518248175
887449,9723070,45476,2874,7940,0,279.2251892,7.297749,1,1948,0,1948,0,0,0,0,860220,5.23122508712752,12057,two12601,0.00307355510648744,1
888377,9723070,45836,3143,7061,0,291.1576843,3.2372122,1,0,0,0,0,0,0,0,860220,5.08591327915175,11168,two12602,0.00174722797753609,1
889304,9723070,46212,3618,6185,0,289.8969116,8.4000578,1,0,0,0,0,0,0,0,860220,5.18278781780226,10244,two12603,0.0023701587667145,1
887449,9722142,44644,2001,8237,0,298.3904114,3.2456532,1,2922,0,0,0,974,1948,3896,860220,5.37653689510328,12199,two12782,0.00179274596463049,1
888377,9722142,45011,2346,7361,0,302.3516235,4.0027995,1,0,0,0,0,0,0,3896,860220,5.37653689510328,11283,two12783,0.00159740999840022,1
890232,9722142,45793,3428,5606,0,330.5319214,9.1679974,0,0,0,0,0,0,0,974,860220,5.52184870307905,9458,two12785,0.00205627946180044,0.64963503649635
887449,9721215,43788,1100,8547,0,268.2815857,6.8303871,1,1948,0,1948,0,0,0,6818.0002136,860220,4.79528966320023,12374,two12963,0.00211008626820037,1
888377,9721215,44162,1640,7672,0,299.2683411,14.4690504,1,0,0,0,0,0,0,6818,860220,5.0374760098265,11472,two12964,0.0035811342176154,1
889304,9721215,44552,2359,6792,0,273.7828979,5.3613901,0,0,0,0,0,0,0,2922,860220,4.84372693252548,10574,two12965,0.00161612178578703,1.2992700729927
891159,9721215,45380,2724,5037,0,341.0697937,13.9291735,0,0,0,0,0,0,0,7792,860220,4.64997785522446,8798,two12967,0.00190077401842135,0.324817518248175
887449,9720287,42934,351,8485,0,260.8323059,0.9605744,1,15584,0,8766,974,0,5844,12661.9998779,860220,3.24529704479207,12615,two13148,0.000855214985126388,1
888377,9720287,43315,1050,7787,0,295.1901855,0.9124472,0,0,0,0,0,0,0,12661.9996643,860220,3.43904612209309,11731,two13149,0.000822016175414062,0.64963503649635
889304,9720287,43713,1441,7103,0,263.0479736,1.2525617,0,0,0,0,0,0,0,8766,860220,3.43904612209309,10855,two13150,0.000865355093845752,0.974452554744526
890232,9720287,44127,1594,6223,0,387.4198608,12.4634161,0,0,0,0,0,0,0,0,860220,3.5359206607436,9989,two13151,0.00229181293494164,0.324817518248175
887449,9719360,42084,30,7929,0,279.9945374,0.1255106,0,24350,0,0,2922,15584,5844,15584.0002441,857298,2.42186346626274,12918,two13334,0.000499525358975801,0.324817518248175
888377,9719360,42473,540,7177,0,269.1444702,3.3658688,1,0,0,0,0,0,0,12662,860220,2.61561254356376,12057,two13335,0.000671928583132644,1
889304,9719360,42878,523,6472,0,262.88797,2.9406261,1,0,0,0,0,0,0,8766,860220,2.47030073558799,11206,two13336,0.000592657724372729,1
887449,9718432,41237,134,7448,0,280.9078064,1.3266662,1,13636,0,2922,974,8766,974,18506,854376,2.13123985031121,12918,two13523,0.000417458671167575,1
888377,9718432,41634,174,6643,0,282.7594299,6.8410077,1,0,0,0,0,0,0,12662,860220,2.22811438896172,12057,two13524,0.000669569585205349,1
889304,9718432,42048,364,5874,0,295.0866699,3.0237999,1,974,0,0,0,0,974,8766,860220,1.88905350368494,11206,two13525,0.00044308108367637,1
890232,9718432,42478,182,5158,0,341.8496399,11.3754225,1,0,0,0,0,0,0,0,860220,1.45311807975764,10369,two13526,0.0009184344173182,1
884667,9717505,39286,1046,9709,0,300,0,0,0,0,0,0,0,0,3896,860220,0.435935423927293,15296,two13713,0.00138856516746918,0.324817518248175
886522,9717505,40006,1443,7931,0,317.7839966,2.4342811,0,0,0,0,0,0,0,9740.0003052,860220,0.726559039878822,13504,two13715,0.000937027648770884,0.64963503649635
887449,9717505,40394,947,7058,0,305.1044922,8.1641245,1,0,0,0,0,0,0,8765.9998169,860220,1.01718265583035,12615,two13716,0.00110725347492827,1
888377,9717505,40799,1055,6202,0,289.1048889,6.0920038,1,0,0,0,0,0,0,8765.9998169,860220,1.11405719448086,11731,two13717,0.000735008209277872,1
889304,9717505,41221,1282,5370,0,318.948822,2.3440769,1,0,0,0,0,0,0,8766,860220,0.968745386505096,10855,two13718,0.0004313273706156,1
890232,9717505,41660,780,4576,0,311.5904236,10.566906,1,1948,0,0,1948,0,0,0,834413,0.678121770553567,9989,two13719,0.000649535615452752,1
884667,9716577,38422,1883,9502,0,318.1056213,0.7925223,0,0,0,0,0,0,0,0,860220,0.678121770553567,15098,two13911,0.00189190804295879,2.27372262773723
885594,9716577,38781,2313,8589,0,320,0,1,0,0,0,0,0,0,5844,860220,0.242186346626274,14187,two13912,0.00125110565303023,1
886522,9716577,39159,2166,7679,0,320,0,1,0,0,0,0,0,0,5844,860220,0.09687453865051,13279,two13913,0.000919992906925108,1
887449,9716577,39555,1868,6774,0,313.8479919,3.6881089,1,0,0,0,0,0,0,5844,860220,0.09687453865051,12374,two13914,0.000909592531363383,1
888377,9716577,39968,1965,5876,0,313.6319275,7.99296,1,0,0,0,0,0,0,5844,860220,0.09687453865051,11472,two13915,0.00103760814690889,1
889304,9716577,40399,1652,4990,0,392.17453,6.5669017,1,0,0,0,0,0,0,13636,860220,0.09687453865051,10574,two13916,0.000519363816909539,1
890232,9716577,40846,725,4124,0,298.0037842,11.7906237,1,0,0,0,0,0,0,7792,860220,0.09687453865051,9683,two13917,0.000621136656325445,1
891159,9716577,41310,174,3293,0,280,0,0,19480,0,0,0,9740,9740,9740,860220,0.048437269325255,8798,two13918,0.000144404724346406,0.324817518248175
883739,9715650,37214,2674,10258,0,305.5914612,6.3939266,0,0,0,0,0,0,0,0,860220,1.59842988773341,15875,two14116,0.00470885060890155,0.974452554744526
884667,9715650,37562,2765,9341,0,320,0,1,0,0,0,0,0,0,0,860220,1.11405719448086,14955,two14117,0.00206638599135837,1
885594,9715650,37929,3126,8425,0,320,0,1,0,0,0,0,0,0,0,860220,0.435935423927293,14035,two14118,0.00169438333203643,1
886522,9715650,38315,3002,7511,0,320,0,1,0,0,0,0,0,0,0,860220,0.09687453865051,13116,two14119,0.00125086966754817,1
887449,9715650,38719,2795,6594,0,320,0,1,0,0,0,0,0,0,0,860220,0,12199,two14120,0.000905999183629932,1
888377,9715650,39142,2284,5677,0,323.5196533,5.1422467,1,0,0,0,0,0,0,0,860220,0,11283,two14121,0.000965933004664418,1
889304,9715650,39582,1398,4760,0,393.7260437,6.8228407,1,0,0,0,0,0,0,7792,843015,0,10369,two14122,0.000479774622720661,1
890232,9715650,40038,591,3847,0,310.2530518,10.2507114,1,1948,0,0,0,1948,0,7791.999939,860220,0,9458,two14123,0.000485072651492687,1
880957,9714722,35417,4203,12606,0,321.0482483,2.888916,0,0,0,0,0,0,0,1948,860220,4.55310331657395,18572,two14326,0.0090149375483364,0.324817518248175
882812,9714722,36025,3750,10993,0,319.7082214,0.9986596,0,0,0,0,0,0,0,0,860220,2.56717527423851,16720,two14328,0.00461716530354605,2.27372262773723
883739,9714722,36349,3603,10105,0,320,0,1,0,0,0,0,0,0,0,860220,1.98592804233545,15794,two14329,0.00314554245490708,1
884667,9714722,36705,3671,9188,0,319.9048157,0.5750782,1,1948,0,0,0,1948,0,0,860220,1.54999261840815,14868,two14330,0.00254885060790057,1
885594,9714722,37080,3960,8270,0,320,0,1,0,0,0,0,0,0,0,860220,0.774996309204077,13943,two14331,0.00195384949913427,1
886522,9714722,37475,3882,7353,0,320,0,1,0,0,0,0,0,0,0,860220,0.242186346626274,13017,two14332,0.00145518035691461,1
887449,9714722,37889,3155,6436,0,320,0,1,0,0,0,0,0,0,0,860220,0.09687453865051,12092,two14333,0.000940338437516791,1
888377,9714722,38320,2227,5519,0,357.6882019,14.56635,1,0,0,0,0,0,0,0,860220,0.09687453865051,11168,two14334,0.00208974505818366,1
889304,9714722,38769,1302,4601,0,320,0,1,0,0,0,0,0,0,7792,860220,0.048437269325255,10244,two14335,0.000289680812637598,1
890232,9714722,39235,390,3684,0,320.0541992,0.8679933,1,7792,0,0,974,2922,3896,7791.999939,860220,0,9321,two14336,0.000193844218789502,1
881884,9713795,34833,4833,11306,0,319.6734924,1.1301984,1,0,0,0,0,0,0,0,860220,4.11716789264666,17622,two14539,0.00610728031915988,1
