A128,A129,A130,A154,A347,A360,A361,A362,PML,EVI_t0,EVI_5yr_diff,EVI.D.yr1,EVI.D.yr2,EVI.D.yr3,EVI.D.yr4,EVI.D.yr5,EVI.D.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,rain_5yr_diff,rain_yr1_diff,rain_yr2_diff,rain_yr3_diff,rain_yr4_diff,rain_yr5_diff,distance,weights
9141,4628,19587,1,0,12,941.48114,15.660872,1,5247.384766,-446.154786,94.1523429999997,135.79834,-145.555176,-116.546875,-414.003418,-76.423828,834413,9.978077,9683,0.407619,6.904721,1.91436,-8.700816,0.141989,0.147365,0.950190881349554,1
10011,5467,19641,1,0,12,968.033203,24.888203,1,5341.915039,-639.625977000001,-34.0791010000003,374.145507,-475.804687000001,97.5048830000005,-601.392579,-61.653808,817209,10.753074,10574,0.4163,6.900372,1.926963,-8.709326,0.145785,0.152506,0.977947351672477,1
10891,6330,19466,1,0,12,941.290283,9.317554,1,5717.552734,-52.701172,590.556153,96.2294919999995,-102.383301,-48.6191399999998,-588.484376,-11.7983400000003,833439,12.157755,11472,0.424981,6.896022,1.939568,-8.717838,0.149581,0.157648,0.908549233135059,1
11778,7210,19334,1,0,12,1267.803955,43.503799,1,6143.407227,-965.849122,572.152832000001,-245.028321000001,231.628907,-206.118165,-1318.484375,57.8095700000003,817209,13.271812,12374,0.433662,6.891672,1.952172,-8.726348,0.153377,0.162789,0.989836754429346,1
12671,6992,19247,1,0,12,1516.589844,29.476788,1,5741.351562,-622.949707,85.2929690000001,-339.625488,392.112305,-1016.500489,255.770996,45.5947260000003,817209,13.465561,13279,0.442344,6.887323,1.964776,-8.734858,0.157173,0.16793,0.976006791028678,1
13541,6280,19205,1,0,12,1516.95752,36.632263,1,4976.967773,-288.058593000001,231.016114,284.310058,-428.086914,-134.534668,-240.763183,55.5190430000002,772250,13.223375,14187,0.451025,6.882972,1.977382,-8.74337,0.160969,0.173072,0.990111116473957,1
14443,5601,19205,1,0,12,1344.260254,24.777662,1,5194.262207,-19.7543949999999,-57.4423829999996,-141.301758000001,267.39209,-570.456054,482.05371,143.612305,817209,12.06088,15098,0.459706,6.878623,1.989985,-8.75188,0.164765,0.178213,0.96621428035433,1
15349,5004,19249,1,0,13,1416.797852,28.898638,1,5228.602539,-87.5703120000007,-429.704101,119.76416,-251.092286,-1.11913999999979,474.581055,190.116943,782800,10.414013,16010,0.468388,6.874274,2.002589,-8.76039,0.16856,0.183355,0.893393014857951,1
16257,4521,19338,1,0,13,1314.19812,9.823465,1,4738.881836,6.17138700000032,336.963867,-661.678711,347.789551,-392.257813,375.354493,185.869629,834413,9.445268,16924,0.477068,6.869924,2.015194,-8.768902,0.172357,0.188495,0.740211870490604,1
17168,4191,19471,1,0,13,1592.003418,15.918075,1,4531.714844,486.638672,125.34082,42.3173829999996,70.3623049999997,72.3496089999999,176.268555000001,301.920655,817209,0,17840,0.485749,6.865574,2.027799,-8.777413,0.176153,0.193636,0.869502323767029,1
18080,4052,19507,1,0,13,1851.3125,25.118649,1,5339.682617,-415.619629000001,-60.748047,-497.23584,-481.793945,713.105957000001,-88.9477540000007,390.10083,782800,7.7984,18757,0.494431,6.861224,2.040404,-8.785923,0.179948,0.198778,0.798192477467633,1
18988,4118,19079,0,0,13,1739.542358,30.223797,1,4188.544434,-148.338135,-239.621094000001,-87.9841309999997,307.776123,81.6977539999998,-210.206787,380.901855,791402,6.974967,19674,0.503112,6.856875,2.053008,-8.794434,0.183744,0.203919,0.00679510905049917,1
4141,4323,18398,1,0,12,1189.731079,7.91632,1,4248.719238,411.715821000001,-127.224120999999,126.892089999999,-60.9799800000001,-513.143067,986.170899,76.5395500000004,817209,6.442157,3709,0.293947,7.029118,1.492934,-8.400904,0.0861359999999998,0.0866630000000002,0.74549417442991,1
4125,3403,19328,1,0,12,1053.608398,8.475014,1,4329.525879,541.160156,-67.1127930000002,0.552734000000783,71.486328,546.285156999999,-10.0512699999999,16.9111329999996,817209,7.362465,3824,0.302996,7.020857,1.547702,-8.447872,0.0911769999999996,0.091132,0.813441392279101,1
4307,2489,20258,1,0,12,1111.980957,10.986644,1,5181.463867,-225.094726,-745.375976,225.236816,300.838867,435.222656,-441.017089,-56.5532229999999,817209,7.895275,4147,0.32088,7.004533,1.650372,-8.535109,0.100963,0.100121,0.850086111237278,1
4657,1615,21021,1,0,12,941.308899,18.202211,1,5216.815918,-63.5268560000004,-873.857422,572.839844,222.049316,-75.75,91.1914059999999,-86.7084960000002,834413,7.217153,4637,0.329648,6.996441,1.697236,-8.574293,0.105656,0.104608,0.936290438413876,1
5154,713,20821,1,0,12,834.830444,8.035613,1,5673.373535,-551.07373,-912.241211,330.007324,-4.97558600000048,-40.9042959999997,77.0400389999995,-69.3374029999995,851618,6.878092,5246,0.338257,6.988375,1.740432,-8.609802,0.110181,0.109071,0.820744838212599,1
5750,108,20662,1,0,12,688.599792,4.267894,1,5100.470703,-192.60791,-379.998535,384.328125,-285.322266,-14.1308589999999,102.515625,-31.732422,860220,7.410902,5938,0.346673,6.980319,1.779441,-8.641091,0.114512,0.113492,0.78213552245307,1
6415,926,20543,1,0,12,1009.611389,27.47636,1,4974.169434,579.418457,156.460448999999,267.936035000001,-228.149414,7.56396500000028,375.607422,-12.549317,825811,8.524959,6688,0.366319,6.924795,1.862185,-8.670053,0.126875,0.122517,0.958223046982379,1
7134,1744,20466,1,0,12,1200.807251,8.763452,1,5012.926758,-55.1708989999997,262.595215,106.861816000001,-217.603027,-256.121582000001,49.0966790000002,-12.5214839999999,817209,9.251518,7477,0.374803,6.920383,1.875132,-8.67887,0.130669,0.127489,0.853221479800248,1
7896,2562,20432,1,0,12,1113.318726,16.12397,1,4811.291016,245.909668,50.8364249999995,248.172852000001,-35.9096680000002,-431.600586,414.410645,-45.3002930000002,834413,9.493705,8295,0.383286,6.91597,1.88808,-8.687687,0.134464,0.132459,0.943287703025631,1
8692,3403,20437,1,0,12,1044.502808,15.429569,1,5551.187012,-624.750489,69.548828,-104.732910000001,198.462890000001,-83.9902340000008,-704.039062999999,-68.810547,825811,10.074952,9134,0.39177,6.911557,1.901028,-8.696504,0.138259,0.13743,0.939335720312672,1
9512,4279,20484,1,0,12,1269.953369,31.305506,1,5579.765625,-1313.319824,-87.9306640000004,133.666016,-147.602539,-405.072266,-806.380371,-47.0302730000003,817209,10.414013,9989,0.400254,6.907145,1.913974,-8.70532,0.142053,0.142402,0.983597905628778,1
10350,5173,20521,1,0,12,997.685486,19.663433,1,5327.541016,-782.033204,-6.78906300000017,263.476074,-390.332519000001,-53.0317379999997,-595.355958,-37.6523429999997,843015,10.510887,10855,0.408738,6.902733,1.926922,-8.714137,0.145848,0.147372,0.97321777386986,1
11203,6078,20354,1,0,12,925.966187,2.369431,1,5698.908691,-641.571776999999,180.815918,382.525391,-505.456055,-254.600586,-444.856444999999,4.92138699999941,843015,11.043697,11731,0.417222,6.89832,1.93987,-8.722954,0.149643,0.152343,0.888265900182637,1
12068,6629,20228,1,0,12,1202.646606,38.614693,1,6214.534668,-753.867676,-163.606934,0.495606000000407,296.113281,-838.100098,-48.7695309999999,71.6455080000005,825811,10.99526,12615,0.425706,6.893907,1.952818,-8.731771,0.153437,0.157315,0.989341642441195,1
12941,6254,20145,1,0,13,1448.692505,32.533527,1,6124.62207,-1483.918945,-773.101562000001,-648.199218999999,129.995605999999,-25.2143559999995,-167.399414,74.3623050000006,817209,10.46245,13504,0.434189,6.889495,1.965765,-8.740588,0.157232,0.162285,0.931168917282422,1
13794,5741,20105,1,0,13,1356.518066,17.302961,1,5503.442383,-998.914062999999,7.68115200000011,-49.6713869999994,-762.941406,312.711426,-506.693848,81.2304679999997,817209,9.590579,14398,0.442673,6.885082,1.978713,-8.749405,0.161027,0.167256,0.856049763912668,1
14680,4989,20105,1,0,13,1642.385742,11.427224,1,5121.308105,-74.9916990000002,643.775391,-800.216797,10.7714850000002,-299.793946000001,370.472168,150.462891,817209,8.33121,15296,0.451158,6.880671,1.99166,-8.758222,0.164821,0.172228,0.776830661875535,1
15572,4308,20147,1,0,13,1647.413574,28.608723,1,4839.671387,-655.488282,284.940428999999,-668.632323999999,407.497069999999,-391.863769,-287.429688,207.552002,817209,7.168716,16197,0.459642,6.876258,2.004608,-8.767039,0.168616,0.177199,0.932016018243853,1
16468,3736,20232,1,0,13,1441.756958,24.20369,1,4568.828613,69.0112310000004,125.17334,-540.486816,-37.9340820000007,-458.601319,980.860108,230.224609,825811,6.587469,17101,0.468126,6.871845,2.017556,-8.775856,0.172411,0.18217,0.921400129378189,1
17368,3330,20359,1,0,13,1510.831787,28.837137,1,4496.386719,290.334472,107.837402,6.58203099999992,396.795899,-787.133301,566.252441,333.810303,817209,6.151533,18008,0.476609,6.867432,2.030504,-8.784673,0.176205,0.187141,0.928179017698192,1
18270,3153,20310,1,0,13,1648.908203,31.351871,1,4560.70166,1.44189499999993,470.269531,-71.5439449999994,-120.559082,-134.083496,-142.641113000001,409.520019999999,817209,0,18916,0.485093,6.86302,2.04345,-8.793489,0.18,0.192112,0.94877695161661,1
5241,5420,17463,1,0,12,1448.445068,22.804573,1,4432.040039,-166.946777,-994.008301,592.594239,-593.792725,357.471436,470.788574,199.04541,843015,6.684343,4729,0.281332,7.036616,1.437917,-8.354627,0.0816840000000001,0.079742,0.83069957145476,1
5065,4518,18392,1,0,12,1192.405518,18.4727,1,4471.846191,-192.947752999999,-350.756836,-466.433105,160.250488,229.85376,234.13794,113.249024,817209,7.362465,4637,0.290078,7.028274,1.494191,-8.403131,0.0867339999999999,0.0840100000000001,0.851782853334305,1
5052,3624,19322,1,0,12,999.902588,1.346197,1,4771.78418,-197.977539,-158.532714999999,-264.729004000001,-154.218261999999,469.598145,-90.095703,64.653808,817209,7.992149,4729,0.2988,7.020024,1.548876,-8.450135,0.0917219999999999,0.0883130000000003,0.654479064580461,1
