A128,A129,A130,A154,A347,A361,A362,PMI,toPeru.km,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
26308,3145,6418,0,1,859.608093,15.915628,0,31.38395,0,0,0,0,0,0,974,851618,0.031,25836,three17550,0.194168015595697,1.32559425096739
19845,2050,2910,0,0,308.079865,10.0977,0,27.9016,0,0,0,0,0,0,7791.999817,860220,0.371998,20739,three17562,0.0272796787253492,0.662797125483693
26244,1865,6300,0,1,658.882385,6.28303,0,30.83088,0,0,0,0,0,0,6818.000053,860220,0.062,25332,three17741,0.183320342032065,0.662797125483693
24993,3616,5464,0,1,1227.874756,25.344034,0,30.21082,0,0,0,0,0,0,0,817209,0.123999,26265,three17743,0.171892809108093,0.662797125483693
24374,4494,4564,0,1,1166.332153,19.843662,0,29.93909,0,0,0,0,0,0,0,851618,0.170499,25585,three17744,0.17645633072292,0.662797125483693
25704,700,5384,0,1,552.109375,13.689136,0,30.21082,0,0,0,0,0,0,7791.999878,849670,0.108499,24886,three17930,0.273354771276992,0.662797125483693
25369,1624,5561,0,1,692.409302,14.546415,0,29.93909,0,0,0,0,0,0,6818.000053,860220,0.123999,25719,three17931,0.252215710670331,0.662797125483693
24332,3482,5174,0,1,1203.357178,34.503109,0,29.32951,0,0,0,0,0,0,0,825811,0.201499,25652,three17933,0.245329250913721,0.662797125483693
23699,4381,4658,0,1,1057.69751,13.480532,0,29.04954,0,0,0,0,0,0,0,825811,0.232499,24955,three17934,0.154032926318089,0.662797125483693
20605,577,60,1,0,392.033203,9.03516,0,27.57598,3896,2922,0,974,0,0,49673.998778,856324,0.371998,21731,three17939,0.023777553757097,1.32559425096739
25221,210,4470,0,1,524.253174,8.94402,0,29.63587,7792,4870,974,974,974,0,9740.000305,593551,0.170499,24503,three18117,0.102086642359899,0.662797125483693
16917,2296,3804,1,0,320,0,0,24.97318,0,0,0,0,0,0,53569.998265,860220,0.371998,17840,three18133,0.0135907445452276,0.662797125483693
23990,750,3937,0,1,676.143188,8.347722,0,28.45114,0,0,0,0,0,0,6818,860220,0.247999,25769,three18303,0.270226721974772,0.662797125483693
23631,1680,3742,0,1,1123.397339,17.94591,0,28.16244,974,974,0,0,0,0,5844,843015,0.263499,25986,three18304,0.207971945266117,0.662797125483693
13258,7523,3885,1,1,1847.766113,20.397106,0,38.241,974,0,0,0,974,0,1947.999985,774198,7.486464,4994,three18461,0.00390922513712508,0.662797125483693
14609,1323,9546,1,0,319.320648,3.909643,0,19.36636,0,0,0,0,0,0,13636,860220,0.371998,11206,three18514,0.0317863146371562,0.662797125483693
13049,7332,4748,1,1,1704.172974,10.06725,0,37.52573,0,0,0,0,0,0,3896,817209,7.656964,5408,three18642,0.0036605738239267,0.662797125483693
22300,917,2118,0,1,684.958069,16.717373,0,26.70435,0,0,0,0,0,0,974,834413,0.356498,25769,three18666,0.395528020694375,0.662797125483693
12670,1087,6273,0,0,290.216095,9.82102,0,20.7391,0,0,0,0,0,0,19480.000852,860220,0.371998,13279,three18687,0.0253749110846664,0.662797125483693
13828,6400,3916,1,1,1367.199219,26.782005,0,36.21927,0,0,0,0,0,0,1948.000053,791402,7.269465,6688,three18821,0.0136993790552826,0.662797125483693
15677,6764,2070,1,1,1480.645508,29.225782,0,35.06073,1948,1948,0,0,0,0,1947.999985,808606,6.075971,8295,three18823,0.0232397754748303,0.662797125483693
21064,1961,1018,0,1,1123.954224,14.946824,0,25.51836,0,0,0,0,0,0,0,817209,0.371998,24503,three18845,0.251863808358642,0.662797125483693
20696,2885,823,0,1,1046.620483,12.513604,0,25.2302,0,0,0,0,0,0,0,843015,0.371998,23700,three18846,0.264665198953138,1.32559425096739
