A128,A129,A130,A154,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,toPeru.within10km,distance,weights
37504,2141,5366,1,0,393.694672,7.713614,1,0,0,0,0,0,0,1948,860220,0.484373,11129,two14546,0,0.00121793603442749,1
37963,1243,4448,1,0,317.35553,4.46176,1,0,0,0,0,0,0,9740,860220,0.339061,10202,two14547,0,0.000473593367691172,1
38438,379,3531,1,0,284.67807,8.690456,1,10714,2922,1948,0,2922,2922,9740.000427,860220,0.145312,9274,two14548,0,0.000457914787397716,1
33364,6281,12410,1,0,294.643402,3.952742,1,0,0,0,0,0,0,13635.999508,860220,5.667161,17840,two14748,0,0.0123817918414072,1
33649,5950,11591,1,0,300.715607,1.880391,1,0,0,0,0,0,0,13636,851618,5.3281,17719,two14749,0,0.00646560392765702,1
33958,5753,10789,1,0,305.07196,5.056169,1,0,0,0,0,0,0,3896,860220,4.553103,17622,two14750,0,0.00890501347572802,1
34288,5560,10010,1,0,320.068054,0.529119,1,0,0,0,0,0,0,0,860220,3.584358,16694,two14751,0,0.00516653136071244,1
34629,5462,9282,1,0,299.968689,0.146657,1,0,0,0,0,0,0,0,860220,2.712487,15767,two14752,0,0.00412655138881915,1
35002,5507,8565,1,0,303.30896,4.926027,1,0,0,0,0,0,0,0,860220,2.228114,14839,two14753,0,0.00538018229416731,1
35396,4899,7891,1,0,305.641357,4.790691,1,0,0,0,0,0,0,0,860220,1.549993,13912,two14754,0,0.00394666712500422,1
35809,3971,7043,1,0,301.133972,2.866499,1,0,0,0,0,0,0,0,860220,1.114057,12984,two14755,0,0.002155795978485,1
36242,3044,6125,1,0,334.52536,22.883928,1,0,0,0,0,0,0,974,860220,1.06562,12057,two14756,0,0.00804647957656139,1
36693,2121,5208,1,0,359.104584,1.559356,1,0,0,0,0,0,0,1948.000053,851618,1.114057,11129,two14757,0,0.000637641255826701,1
37162,1200,4290,1,0,324.781403,18.983837,1,0,0,0,0,0,0,10714.000103,860220,0.774996,10202,two14758,0,0.00166407801751607,1
37648,270,3373,1,0,300.822205,13.890521,1,30194,11688,0,9740,2922,5844,10714.000103,860220,0.435935,9274,two14759,0,0.000669124723219728,1
32769,6846,11166,1,0,280.375,1.838928,0,0,0,0,0,0,0,13636.000215,860220,5.473411,16797,two14960,0,0.00839257145809229,0.620689655172414
33086,6673,10331,1,0,294.346008,6.815578,1,0,0,0,0,0,0,3896,851618,4.892164,16720,two14961,0,0.0115175375104103,1
33425,6475,9514,1,0,319.044952,0.573822,1,0,0,0,0,0,0,0,860220,3.971856,16694,two14962,0,0.00540699437646156,1
33775,6391,8745,1,0,300.37561,1.299032,1,0,0,0,0,0,0,0,860220,3.148423,15794,two14963,0,0.00469794327788908,1
34157,5910,7980,1,0,300,0,1,0,0,0,0,0,0,0,860220,2.615613,14868,two14964,0,0.00308367689450099,1
34560,4991,7253,1,0,299.9375,0.393694,1,0,0,0,0,0,0,0,860220,1.889054,13943,two14965,0,0.00217568331161056,1
34984,4077,6576,1,0,304.513489,6.064859,1,0,0,0,0,0,0,8766,860220,1.307806,13017,two14966,0,0.00191093042091953,1
35426,3173,5959,1,0,376.314728,11.609856,1,0,0,0,0,0,0,17532,851618,1.210932,12092,two14967,0,0.00150089398044069,1
35887,2289,5055,1,0,334.525848,2.028297,1,0,0,0,0,0,0,18505.999561,860220,1.162494,11168,two14968,0,0.000430685470131017,1
36367,1462,4137,1,0,311.46405,1.917787,1,5844,0,974,4870,0,0,20453.999133,859246,0.823434,10244,two14969,0,0.000260090534924641,1
32245,7554,9950,1,0,293.442627,3.788971,0,7792,0,0,2922,1948,2922,3896,851618,5.473411,15794,two15171,0,0.0105645921875721,2.17241379310345
32593,7365,9099,1,0,288.339905,8.158938,1,0,0,0,0,0,0,0,860220,4.698415,15767,two15172,0,0.0131881426818153,1
32952,6999,8292,1,0,315.114838,4.322449,1,0,0,0,0,0,0,0,860220,3.923419,15794,two15173,0,0.00606925105037166,1
33344,6103,7480,1,0,314.339508,4.203301,1,0,0,0,0,0,0,0,860220,3.342172,14955,two15174,0,0.0039431998006539,1
33756,5218,6699,1,0,318.490997,4.05276,1,0,0,0,0,0,0,0,860220,2.567175,14035,two15175,0,0.00260092962991129,1
34190,4350,5961,1,0,347.229706,17.755119,1,0,0,0,0,0,0,8766,860220,1.889054,13116,two15176,0,0.00460900641417721,1
34642,3420,5282,1,0,318.903107,0.890852,1,0,0,0,0,0,0,24350,860220,1.501555,12199,two15177,0,0.000419943864143381,1
35114,2490,4675,1,0,356.228882,3.389262,1,0,0,0,0,0,0,25324,860220,1.162494,11283,two15178,0,0.000352848959646837,1
35604,1560,3985,1,0,311.713531,1.914527,0,0,0,0,0,0,0,26297.999508,860220,0.774996,10369,two15179,0,0.000211940171293838,0.620689655172414
31738,8093,8748,1,0,280.354401,1.658258,0,0,0,0,0,0,0,0,860220,5.134351,14839,two15380,0,0.00868166631609748,0.310344827586207
32106,7200,7905,1,0,288.71991,9.31011,1,0,0,0,0,0,0,0,860220,4.407792,14868,two15381,0,0.0101455188998228,1
32508,6279,7048,1,0,319.960175,0.243586,1,0,0,0,0,0,0,0,860220,3.778107,14955,two15382,0,0.00248320073864551,1
32931,5361,6213,1,0,350.309174,15.376335,1,0,0,0,0,0,0,0,860220,2.906236,14187,two15383,0,0.00620327082152492,1
33375,4448,5409,1,0,324.396332,8.019115,1,0,0,0,0,0,0,8766,851618,2.324989,13279,two15384,0,0.00148996718730826,1
33839,3544,4652,1,0,307.515076,17.713068,1,1948,0,1948,0,0,0,25324,851618,1.889054,12374,two15385,0,0.00145067051454043,1
30886,8252,8484,1,0,301.698578,10.459129,0,974,0,0,0,0,974,0,851618,5.182788,13912,two15586,0,0.0189803908739306,0.931034482758621
31264,7378,7612,1,0,287.298096,7.426309,1,0,0,0,0,0,0,0,860220,4.359354,13943,two15587,0,0.00915457049212237,1
31677,6482,6718,1,0,322.642517,11.809718,1,0,0,0,0,0,0,0,860220,3.487483,14035,two15588,0,0.007554425479358,1
32111,5598,5836,1,0,333.901794,11.680047,1,0,0,0,0,0,0,0,843015,2.518738,14187,two15589,0,0.00360831922277044,1
32566,4730,4971,1,0,325.676819,3.383103,1,0,0,0,0,0,0,12662,860220,1.985928,13504,two15590,0,0.000832095526716033,1
33041,3880,4134,1,0,319.156982,1.021712,1,8766,0,8766,0,0,0,32142,860220,1.59843,12615,two15591,0,0.000236812503526364,1
33535,3009,3348,1,0,280,0,0,7792,0,0,0,0,7792,32142.000974,860220,1.017183,11731,two15592,0,0.000148043760299061,0.620689655172414
30428,7414,7424,1,0,280.000641,-0.01127,1,0,0,0,0,0,0,4870,860220,4.601541,13017,two15791,0,0.00432244890765146,1
30852,6485,6505,1,0,362.091949,13.764419,1,0,0,0,0,0,0,13636,860220,3.439046,13116,two15792,0,0.00601478079939162,1
31298,5556,5589,1,0,299.070953,13.19085,1,0,0,0,0,0,0,13636,851618,2.228114,13279,two15793,0,0.00306555131168145,1
31765,4627,4679,1,0,316.642273,4.228363,1,0,0,0,0,0,0,26298,860220,1.549993,13504,two15794,0,0.000524474487946726,1
32251,3699,3778,1,0,279.010406,0.788996,1,0,0,0,0,0,0,52595.998265,860220,1.06562,12918,two15795,0,0.000102695137661859,1
30033,6464,6421,1,0,290.060577,11.808916,0,0,0,0,0,0,0,15583.999754,860220,3.439046,12199,two15994,0,0.00553555408589217,0.620689655172414
30970,4655,4561,1,0,273.828613,2.1343,0,0,0,0,0,0,0,19479.999754,860220,1.453118,12615,two15996,0,0.00061315095180195,0.620689655172414
30695,3542,3706,1,0,260.054993,1.10808,0,1948,0,0,974,0,974,44803.998296,860220,0.629685,12057,two16199,0,0.000151882644054417,0.310344827586207
44883,3111,8099,0,0,260.157837,1.070144,0,0,0,0,0,0,0,0,860220,0,11168,two16425,0,1.61476599411985e-06,0.931034482758621
29592,1631,2925,1,0,251.02449,1.566853,0,1948,1948,0,0,0,0,18505.999333,860220,0.145312,10574,two16806,0,0.000225658520294786,0.310344827586207
20198,2283,14785,1,0,366.89444,17.705811,0,0,0,0,0,0,0,0,860220,6.006221,9134,two17383,0,0.240298822451514,0.620689655172414
18138,445,12705,1,0,412.895294,4.519685,0,0,0,0,0,0,0,974,860220,4.940601,7978,two17769,0,0.0316799219084739,0.310344827586207
17832,2333,12894,1,0,360.978638,12.015307,0,0,0,0,0,0,0,973.999992,851618,2.373426,6221,two17961,0,0.111844273288636,0.620689655172414
1604,789,12214,1,0,539.807251,38.190907,0,0,0,0,0,0,0,24349.999133,850644,2.857799,9274,two22881,0,0.281014442349346,0.310344827586207
626,2012,11462,0,0,1125.94165,26.036329,0,2922,2922,0,0,0,0,98373.997312,824837,3.148423,12374,two23161,0,3.22778478919623e-06,0.310344827586207
2267,2623,7834,0,0,973.496582,26.660166,0,0,0,0,0,0,0,17532,843015,7.943712,12092,two23166,0,1.70529926407763e-05,0.310344827586207
2013,3066,7236,0,0,997.351746,36.730583,0,0,0,0,0,0,0,1948.000053,834413,6.974967,12199,two23167,0,5.6053456634596e-05,0.310344827586207
1527,2969,10490,0,0,888.713928,20.322462,1,0,0,0,0,0,0,20454.000636,849670,5.667161,11283,two23254,0,3.30152345057186e-05,1
2036,3072,9801,0,0,803.004517,5.641296,0,0,0,0,0,0,0,16558.000103,860220,7.604651,11168,two23255,0,8.96194674612071e-06,0.310344827586207
3121,3500,8541,0,0,1180.971191,21.539791,0,0,0,0,0,0,0,4870,817209,8.33121,11168,two23257,0,1.87920042285806e-05,0.310344827586207
1682,3924,14028,0,0,1464.602783,32.709637,0,0,0,0,0,0,0,142203.996632,780852,5.424974,10369,two23339,0,3.85228034081541e-06,0.310344827586207
891,4022,13262,0,0,1259.116577,22.133774,1,0,0,0,0,0,0,143177.994848,817209,4.698415,11206,two23340,0,1.60487746744501e-06,1
134,3843,12519,1,0,1054.363525,19.08839,1,974,0,0,0,0,974,94477.999148,824837,4.456229,10855,two23341,0,0.0072550448511105,1
375,3811,11802,1,0,955.269287,11.893519,1,20454,1948,0,0,0,18506,45777.998296,825811,4.746852,10574,two23342,0,0.0149803645375892,1
721,3892,11117,1,0,800.801819,3.298124,1,9740,9740,0,0,0,0,15583.999636,860220,5.037476,10369,two23343,0,0.0215380903472137,1
1527,3992,10462,0,0,998.823608,2.172189,1,0,0,0,0,0,0,13636.000103,843015,6.587469,10244,two23344,0,9.46899353884007e-06,1
3164,4092,9282,0,0,1053.311157,15.362638,0,0,0,0,0,0,0,974,851618,7.26559,10244,two23346,0,3.03173897565241e-05,0.310344827586207
4684,763,7233,0,0,723.134094,9.970416,0,0,0,0,0,0,0,2922,860220,2.857799,11206,two23350,0,4.37539260275865e-06,0.310344827586207
2146,4838,13994,1,0,1640.762695,24.545952,1,0,0,0,0,0,0,79867.998296,782800,4.892164,10244,two23428,0,0.0183929703928891,1
1443,4936,13826,1,0,1318.813354,26.292664,1,0,0,0,0,0,0,86686.002596,817209,4.504666,10369,two23429,0,0.0286862731905958,1
865,4767,13114,1,0,1115.744019,16.717091,1,0,0,0,0,0,0,38959.998656,817209,4.698415,9989,two23430,0,0.0494874356496357,1
210,4740,12432,1,0,934.13855,4.267673,1,24350,4870,0,5844,3896,9740,32142.000606,841878,4.79529,9683,two23431,0,0.0234034482732892,1
600,4818,11777,1,0,891.396179,3.235402,1,20454,11688,5844,1948,0,974,22401.999148,851618,4.407792,9458,two23432,0,0.0261221576727962,1
1224,4916,11158,1,0,952.066895,5.514759,1,0,0,0,0,0,0,20454,860220,5.231225,9321,two23433,0,0.0282906814129775,1
