A128,A129,A130,A154,A347,A361,A362,PMI,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights,x,y,long,lat
15941,3630,4980,1,1,1045.5373535,31.5331573,0,0,0,0,0,0,0,1948,834413,5.27966235645277,15767,two13098,0.0760467190897751,0.719734660033168,841075,9720287,-77.9333498680555,-2.5269881904133
33679,5165,5865,0,1,528.5657349,22.0194664,0,0,0,0,0,0,0,4870.0000534,843015,0.871870847854587,21652,two13492,0.0952044247539014,0.719734660033168,858697,9718432,-77.775030138109,-2.54335780273382
31031,3244,3642,0,1,727.6713867,13.5176039,0,0,0,0,0,0,0,1948,860220,0.193749077301019,22642,two13682,0.0927273696216188,0.719734660033168,855915,9717505,-77.7999994326155,-2.55179827297773
6162,2185,9146,0,1,1544.90271,39.5760994,0,0,0,0,0,0,0,3895.9999695,825811,2.56717527423851,14487,two13801,0.022948847952201,1.43946932006634,782644,9716577,-78.4582637515469,-2.56165964251449
30267,1950,2372,0,1,660.4106445,13.0239735,0,0,0,0,0,0,0,0,851618,1.25936900245663,21352,two13879,0.0927254441212373,0.719734660033168,854987,9716577,-77.8083089057007,-2.56019703735914
11802,6445,758,0,1,1451.3740234,11.8892775,0,1948,0,0,1948,0,0,973.9999924,791402,5.71559778038007,3344,two17714,0.00507457236937585,0.719734660033168,822525,9698955,-78.0995395254225,-2.72011817246573
13507,5376,1186,0,1,1654.2142334,13.250206,0,0,0,0,0,0,0,2922,817209,6.34528228160838,4729,two17906,0.00264676805442621,0.719734660033168,824380,9698028,-78.0828522429991,-2.72845782759271
15955,1129,840,1,0,280.0002747,0.0159479,0,0,0,0,0,0,0,37985.9982605,860220,6.39371955093363,15547,two18678,0.00779526586353542,0.719734660033168,857770,9694318,-77.7827967147511,-2.76119933718793
18623,3551,1164,0,1,1060.8255615,29.0363407,0,0,0,0,0,0,0,0,843015,6.97496678283669,9859,two19196,0.0221622897613684,0.719734660033168,849422,9691535,-77.8577158189974,-2.78653606880268
10212,721,4915,1,0,199.8933563,0.6088903,0,12662,4870,0,0,974,6818,0,860220,0,7477,two19219,0.0484286953560546,1.43946932006634,870754,9691535,-77.6660932437648,-2.78600614642381
9491,305,2294,1,0,250.8462524,8.368021,0,1948,974,0,974,0,0,17532.0004273,857298,1.25936900245663,10369,two19381,0.0487845605679052,0.719734660033168,864262,9690608,-77.7243860574454,-2.79454793941527
12069,2871,6160,1,1,1527.7731934,20.9169388,0,974,0,0,0,974,0,974,774198,7.5077767454145,7978,two19500,0.00439150992133921,0.719734660033168,823453,9689680,-78.0910018821901,-2.80389926699632
16666,3937,1782,1,1,1143.6315918,36.1314735,0,0,0,0,0,0,0,974,825811,3.24529704479207,11168,two19505,0.107378503026663,0.719734660033168,828090,9689680,-78.049332003846,-2.80379436659587
17559,4536,1168,1,1,1057.5351563,24.6904678,0,0,0,0,0,0,0,0,851618,3.9718560846709,11877,two19506,0.0960428658337672,0.719734660033168,829018,9689680,-78.0409982166193,-2.80377320811209
20450,5469,1036,1,1,912.8642578,28.0803547,0,0,0,0,0,0,0,0,843015,5.86090958835583,14126,two19668,0.105624067517966,0.719734660033168,831800,9688753,-78.0159759538031,-2.81208892745218
8152,429,4913,1,0,190,0,0,0,0,0,0,0,0,3896,834413,0,4637,two19712,0.0348413107905335,0.719734660033168,872609,9688753,-77.6493607212262,-2.8110882907398
16102,1930,3748,1,1,1322.9666748,31.1289444,0,0,0,0,0,0,0,0,825811,5.71559778038007,9548,two19817,0.0232512182068408,1.43946932006634,827163,9687826,-78.057623821056,-2.82057520249468
16473,891,1818,0,1,367.4903564,4.5491428,0,19480,974,974,0,17532,0,15583.9998779,851618,4.60154058589921,11731,two19838,0.0539843357981785,0.719734660033168,846640,9687826,-77.8826239514648,-2.82011691114104
10598,362,1336,1,0,204.8548737,1.5363963,0,13636,974,2922,6818,0,2922,19480.0003052,857298,5.23122508712752,12092,two19851,0.0215159377113039,0.719734660033168,858697,9687826,-77.774305313546,-2.81981999539991
6712,234,2874,1,0,190,0,0,3896,0,974,0,2922,0,7792,610756,0,5246,two19864,0.017713901492755,0.719734660033168,870754,9687826,-77.6659983209574,-2.81951298305282
7267,400,4573,1,0,189,0,0,0,0,0,0,0,0,9739.9995652,851618,0,3934,two19866,0.0332637797841378,0.719734660033168,872609,9687826,-77.6493367651298,-2.81946485458258
7978,256,2855,1,0,210.564209,2.8204198,0,2922,0,974,0,0,1948,6818,860220,1.84061623435968,9548,two20152,0.0516380478992498,0.719734660033168,860552,9685971,-77.7575953535542,-2.83652837956575
7300,1135,2702,1,0,258.4926453,2.4350257,0,0,0,0,0,0,0,7792,860220,1.11405719448086,8749,two20153,0.0535662650775126,1.43946932006634,861480,9685971,-77.7492636471987,-2.83650486301768
6654,2054,2545,1,0,258.15625,1.6632054,0,0,0,0,0,0,0,15583.9998779,860220,0.726559039878822,7978,two20154,0.0471853448700991,0.719734660033168,862407,9685971,-77.7409320102872,-2.83648128637819
6696,1324,3620,1,0,246.0754395,3.0473442,0,0,0,0,0,0,0,9740,860220,0.387498154602038,8295,two20298,0.0553292629545918,0.719734660033168,861480,9685043,-77.749240194437,-2.84488227124085
6963,708,4690,1,0,230.9804077,2.0874488,0,6818,1948,0,1948,2922,0,8765.9996643,860220,1.25936900245663,8798,two20439,0.0409759321791932,1.43946932006634,860552,9684116,-77.7575484984669,-2.85328333372776
8143,313,5919,1,0,256.0446472,5.3372779,0,20454,0,3896,2922,0,13636,10713.9995652,851618,2.51873800491325,10369,two20577,0.0265847204293553,0.719734660033168,858697,9683188,-77.7741889475529,-2.86170807728773
9017,295,3149,1,0,309.2295532,5.8191953,0,1948,0,0,0,0,1948,27272.0006104,824837,1.30780627178188,19120,two20967,0.0470060742566882,0.719734660033168,847567,9680406,-77.8741101047504,-2.88712187727575
8123,30,3801,1,0,299.0805054,0.9928154,0,7792,5844,0,0,1948,0,14610.0004273,843015,1.30780627178188,20021,two21097,0.0649458132089349,2.1592039800995,847567,9679478,-77.8740871492766,-2.89550030183394
7621,1070,2626,1,0,316.3978882,3.9442713,0,0,0,0,0,0,0,7792,860220,0.532809962577803,20739,two21224,0.138868742112227,0.719734660033168,846640,9678551,-77.8823973378249,-2.9039018750506
7267,150,3536,1,0,280.4235229,1.2285376,0,7792,6818,0,0,974,0,10714,834413,1.06561992515561,20924,two21225,0.0914465861286281,0.719734660033168,847567,9678551,-77.874064127001,-2.90387872496844
7215,1049,1633,1,0,320.9499512,6.4386115,0,1948,0,0,0,0,1948,0,860220,0.193749077301019,21512,two21348,0.232693551753038,0.719734660033168,845713,9677623,-77.8907076488143,-2.91230351891654
6112,646,4414,1,1,280,0,0,0,0,0,0,0,0,0,851618,1.16249446380611,20739,two21351,0.563438482582082,0.719734660033168,848495,9677623,-77.8657078325959,-2.91223386795982
1740,577,1380,1,0,200.7966156,1.5358118,0,5844,0,5844,0,0,0,15584,860220,2.27655165828698,7477,two21366,0.0576024321861468,0.719734660033168,862407,9677623,-77.7407178901165,-2.91187728145355
810,152,450,1,0,199.0022736,-0.029652,0,10714,0,0,0,10714,0,15583.9995652,851618,1.74374169570917,7978,two21488,0.0718942906511166,0.719734660033168,862407,9676696,-77.7406937508009,-2.9202546070582
1321,2990,134,1,0,260,0,0,0,0,0,0,0,0,37986.001709,860220,2.13123985031121,10816,two21604,0.0458006692026179,0.719734660033168,859625,9675768,-77.765666665113,-2.92870477662259
3170,3035,3386,1,0,499.111908,16.6942673,0,0,0,0,0,0,0,0,860220,0.678121770553567,19652,two21710,0.206118485798032,0.719734660033168,850350,9674841,-77.8489714000644,-2.93732177650741
3582,4804,3990,1,0,754.5296021,29.0723476,0,0,0,0,0,0,0,0,817209,0.09687453865051,17912,two21712,0.148696765373582,0.719734660033168,852205,9674841,-77.8323050899882,-2.93727438077482
3046,926,2750,1,0,279.9774475,1.2971801,0,0,0,0,0,0,0,0,860220,0.532809962577803,25518,two21931,0.292665908238525,0.719734660033168,844785,9672986,-77.8989255341192,-2.95421970034749
636,5779,30,1,0,513.7624512,18.7332916,0,0,0,0,0,0,0,0,860220,0,16513,two22157,0.348746049096824,0.719734660033168,855915,9671131,-77.7988772157071,-2.97069005668119
5463,6271,5461,1,1,915.5,9.0044184,0,0,0,0,0,0,0,0,825811,1.40468081043239,17101,two22237,0.220627736944051,0.719734660033168,833655,9670203,-77.9988673721789,-2.97963411989344
5074,6048,5123,1,1,965.8687134,18.8189983,0,0,0,0,0,0,0,0,843015,1.35624354110713,18008,two22238,0.315389208296802,0.719734660033168,834583,9670203,-77.9905326862596,-2.97961125202801
